Entity,Code,Year,Electricity from hydro (TWh)
Colombia,COL,1965,3.5439494
Colombia,COL,1966,3.9372194
Colombia,COL,1967,4.3892536
Colombia,COL,1968,4.8910117
Colombia,COL,1969,5.4379735
Colombia,COL,1970,6.05274
Colombia,COL,1971,6.4234085
Colombia,COL,1972,7.115021
Colombia,COL,1973,7.7433486
Colombia,COL,1974,8.7920685
Colombia,COL,1975,9.7323
Colombia,COL,1976,10.22642
Colombia,COL,1977,10.451812
Colombia,COL,1978,12.07144
Colombia,COL,1979,13.2593
Colombia,COL,1980,14.44702
Colombia,COL,1981,14.26534
Colombia,COL,1982,15.238536
Colombia,COL,1983,15.365776
Colombia,COL,1984,17.14022
Colombia,COL,1985,18.440771
Colombia,COL,1986,21.332952
Colombia,COL,1987,23.24756
Colombia,COL,1988,24.5194
Colombia,COL,1989,26.78212
Colombia,COL,1990,27.495852
Colombia,COL,1991,27.72608
Colombia,COL,1992,22.280584
Colombia,COL,1993,27.856392
Colombia,COL,1994,32.05839
Colombia,COL,1995,31.9894
Colombia,COL,1996,35.287624
Colombia,COL,1997,31.47576
Colombia,COL,1998,30.781685
Colombia,COL,1999,33.700657
Colombia,COL,2000,31.75
Colombia,COL,2001,31.48
Colombia,COL,2002,33.63
Colombia,COL,2003,35.81
Colombia,COL,2004,39.68
Colombia,COL,2005,39.4
Colombia,COL,2006,42.31
Colombia,COL,2007,44
Colombia,COL,2008,45.94
Colombia,COL,2009,40.64
Colombia,COL,2010,40
Colombia,COL,2011,48.39
Colombia,COL,2012,47.11
Colombia,COL,2013,49.76
Colombia,COL,2014,47.25
Colombia,COL,2015,47.94
Colombia,COL,2016,48.46
Colombia,COL,2017,60.64
Colombia,COL,2018,59.16
Colombia,COL,2019,52.98
Colombia,COL,2020,48.44
Colombia,COL,2021,58.19